id,title,category1,category2,category3,category4,category5,category6,category7
64,HSBC Premier Centre / HSBC Express Banking,banks_services,,,,,,
65,I.T,ladies_fashion,mens_fashion,,,,,
66,iBLUES,ladies_fashion,,,,,,
67,iD,books_music_electronics,,,,,,
68,Isabel Marant,ladies_fashion,,,,,,
69,IWC Schaffhausen,jewellery_watches_accessories,,,,,,
70,J SELECT,books_music_electronics,entertainment,,,,,
71,Jimmy Choo,shoes_bag_leathergoods,,,,,,
72,JOYCE,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
73,Kelly & Walsh Ltd.,books_music_electronics,entertainment,,,,,
74,Kent & Curwen,mens_fashion,,,,,,
75,King & Country,arts_gifts_home,childrenswear_toys,,,,,
76,La Maison Du Chocolat,confectionary,,,,,,
77,Lifestyle Lab,books_music_electronics,entertainment,,,,,
78,Marc Jacobs,ladies_fashion,shoes_bag_leathergoods,,,,,
79,Masterpiece by king fook,jewellery_watches_accessories,,,,,,
80,Montblanc,jewellery_watches_accessories,,,,,,
81,Mr&Mrs Italy,ladies_fashion,shoes_bag_leathergoods,mens_fashion,,,,
82,Prada,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
83,Puyi Optical,jewellery_watches_accessories,,,,,,
84,RIMOWA,sports,,,,,,
85,STUART WEITZMAN,shoes_bag_leathergoods,,,,,,
86,Wise-Kids Educational Toys,childrenswear_toys,,,,,,
87,Zadig & Voltaire,ladies_fashion,mens_fashion,,,,,
88,Chanel,jewellery_watches_accessories,ladies_fashion,shoes_bag_leathergoods,,,,
89,Louis Vuitton,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
90,Elephant Grounds,3cafe,,,,,,
91,J.LINDEBERG,ladies_fashion,mens_fashion,,,,,
92,ASHWORTH,ladies_fashion,mens_fashion,,,,,
93,IL COLPO Hair. Nail,health_beauty,,,,,,
94,Liquid Gold,4Wine,,,,,,
95,a.testoni,shoes_bag_leathergoods,,,,,,
96,BEA i-Financial Centre,banks_services,,,,,,
97,Bottega Veneta,shoes_bag_leathergoods,,,,,,
98,Boucheron,jewellery_watches_accessories,arts_gifts_home,,,,,
99,Bvlgari,jewellery_watches_accessories,,,,,,
100,Canali,mens_fashion,,,,,,
101,Cartier,jewellery_watches_accessories,,,,,,
102,Caviar House & Prunier,1western,,,,,,
103,CELINE,ladies_fashion,shoes_bag_leathergoods,,,,,
104,Chinese Arts & Crafts,jewellery_watches_accessories,entertainment,,,,,
105,Chloé,ladies_fashion,shoes_bag_leathergoods,,,,,
106,DALLOYAU,cakes,confectionary,3cafe,,,,
107,Fendi,ladies_fashion,shoes_bag_leathergoods,,,,,
108,Goyard,shoes_bag_leathergoods,,,,,,
109,Gucci,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
110,Hermès,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
111,Jaeger-LeCoultre,jewellery_watches_accessories,,,,,,
112,Kwanpen,shoes_bag_leathergoods,,,,,,
113,La Perla,ladies_fashion,,,,,,
114,Loewe,ladies_fashion,mens_fashion,shoes_bag_leathergoods,,,,
115,Loro Piana,ladies_fashion,shoes_bag_leathergoods,,,,,
116,LUMI,confectionary,2hong_kong_style,1western,,,,
117,Miu Miu,ladies_fashion,shoes_bag_leathergoods,,,,,
118,Moncler,ladies_fashion,mens_fashion,,,,,
119,Piaget,jewellery_watches_accessories,,,,,,
120,Richard Mille,jewellery_watches_accessories,,,,,,
121,Roger Dubuis,jewellery_watches_accessories,,,,,,
122,Saloon,health_beauty,,,,,,
123,Salvatore Ferragamo,ladies_fashion,shoes_bag_leathergoods,,,,,
124,Tasaki,jewellery_watches_accessories,,,,,,
125,Tiffany & Co.,jewellery_watches_accessories,,,,,,
126,Tod's,shoes_bag_leathergoods,,,,,,
127,Van Cleef & Arpels,jewellery_watches_accessories,,,,,,
128,VAULT by Puyi Optical,jewellery_watches_accessories,,,,,,
129,Versace,ladies_fashion,mens_fashion,,,,,
130,Ye Shanghai,1asian,2chinese,,,,,
131,Dior,ladies_fashion,shoes_bag_leathergoods,,,,,
132,Commissary,1western,outdoor_seating,4happy_hour,,,,
133,HSBC Premier Centre / HSBC Day & Night Plus / HSBC Express Banking,banks_services,,,,,,
134,The Continental,1western,4happy_hour,outdoor_seating,,,,
135,KOKOMI,1asian,2japanese,,,,,
136,Le Pain Quotidien,1western,3cafe,,,,,
137,Peking Garden,1asian,2chinese,,,,,
138,Plat du Jour,1western,2french,4happy_hour,,,,
139,Thai Basil,1asian,,,,,,
140,Tien Yi Chinese Restaurant,1asian,2chinese,2hong_kong_style,,,,
